id,site_no,name,riverway_no,addr,GPS,SIM,staff_no,maintenance_period
23,10000,小房子,00001,反而,"121.449451,31.120051",15123456789,00000,10
24,10001,蒲汇塘站,00001,宜山路桥与文定路桥中间(河道绿化),"121.445752,31.159928",13345678901,00001,30
25,10002,漕河泾港站,00002,上师大附中内桂林路桥,"121.437355,31.171945",13345678902,00002,20
26,10003,张家塘港站1,00003,桂江路96号世外中学内,"121.454941,31.155421",13345678903,00003,30
27,10004,东上澳塘站,00004,冠生园桥变电站内,"121.412934,31.160959",13345678904,00004,20
28,10005,梅陇港站,00005,梅陇路396号西侧靠近中环,"121.453797,31.124902",13345678905,00005,20
29,10006,张家塘港站2,00003,梅陇路130号理工大学内,"121.445752,31.159928",13345678901,00001,30
30,10007,青春河站,00006,理工大学内,"121.437355,31.171945",13345678902,00002,20
31,10008,北潮港站1,00007,凌云路281号公共厕所西侧,"121.454941,31.155421",13345678903,00003,30
32,10009,北潮港站2,00007,罗秀路113号泵站内(龙华排管站),"121.412934,31.160959",13345678904,00004,20
33,10010,西上澳塘,00008,宜山路桥桔子酒店内,"121.481942,31.166985",13345678905,00005,20
34,10021,西新港站,00017,华泾路申花钢管东侧围墙外,NULL,NULL,NULL,NULL
35,10022,关港站,00018,关港实业公司围墙外区交界处,NULL,NULL,NULL,NULL
36,10023,关港出口站,00018,关港泵站内30米(龙华排管站),NULL,NULL,NULL,NULL
37,10024,龙华港站,00019,宛平南路1447号泵站旁(市排水公司排管站),NULL,NULL,NULL,NULL
38,10025,浦汇塘站,00020,桂林路907号内虹三河闸边,NULL,NULL,NULL,NULL
39,10011,机场河站1,00009,跑道公园内,"121.481942,31.166985",13345678905,00005,20
40,10012,机场河站2,00009,龙华西路机场新村20号楼西侧,"121.456002,31.172748",13345678902,00002,20
41,10013,三友河站,00010,永川路60号内,"121.445752,31.159928",13345678903,00003,30
42,10014,黄婆庙河站,00011,罗城路171号植物园科研楼旁,"121.454941,31.155421",13345678904,00004,20
43,10015,植物园河站,00012,龙吴路1111号植物园内靠近龙川北路,"121.444451,31.154302",13345678905,00005,20
44,10016,春申港站,00013,罗秀路桥罗秀新村80号东侧,"121.454619,31.140591",13345678902,00002,20
45,10017,华泾港出口站,00014,泵站内200米(市排水公司排管站),"121.453797,31.124902",13345678903,00003,30
46,10018,进本港站,00015,龙吴路1688号,"121.457452,31.148554",13345678904,00004,20
47,10019,东新港站,00016,长华路东新港泵站内50米(龙华排管站),"121.45053,31.135939",13345678905,00005,20
48,10020,华泾港进口站,00014,华泾路1425弄170号围墙外,"121.437355,31.171945",13345678902,00002,20
